,Time,PedestrianId,X,Y,Yaw,Vx,Vy,Scene
0,1000.0,3.0,1.3345500000000001,-3.23965,2.1879296016519123,-1.001125,1.4275000000000004,0
22,1000.0,4.0,2.7267,-0.7476050000000001,1.5992354951081693,-0.049374999999999836,1.6799874999999997,0
78,1000.0,6.0,-1.7211,1.3182,0.0,0.0,0.0,0
124,1000.0,7.0,-2.4006,2.6994,1.4300990040121921,0.07412499999999989,0.4201250000000001,0
130,1000.0,8.0,-1.4477,-0.75585,0.0,0.0,0.0,0
32,1000.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
23,1200.0,4.0,2.7243,-0.42651000000000006,1.5782706110655742,-0.011999999999999789,1.6054749999999998,0
131,1200.0,8.0,-1.4477,-0.75585,0.0,0.0,0.0,0
1,1200.0,3.0,1.1374,-2.9931,2.2453146455279276,-0.9857500000000002,1.2327500000000002,0
125,1200.0,7.0,-2.3721,2.8053,1.3079031901557896,0.14249999999999985,0.5294999999999994,0
33,1200.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
79,1200.0,6.0,-1.7211,1.3182,0.0,0.0,0.0,0
80,1400.0,6.0,-1.7211500000000002,1.3182,1.5707963267948966,-0.00012499999999998623,0.0,0
132,1400.0,8.0,-1.4477,-0.75585,0.0,0.0,0.0,0
34,1400.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
2,1400.0,3.0,0.9935649999999999,-2.72615,2.155160741482077,-0.8524625000000002,1.2837500000000002,0
126,1400.0,7.0,-2.39115,3.0778499999999998,1.4742407298715836,0.023624999999999896,0.9461249999999999,0
24,1400.0,4.0,2.7214,-0.04077000000000003,1.5782924067708635,-0.013249999999999651,1.7670875,0
3,1600.0,3.0,0.8497299999999999,-2.4592,2.0650068374362265,-0.7191750000000002,1.33475,0
127,1600.0,7.0,-2.4102,3.3504,1.6405782695873776,-0.09525000000000006,1.3627500000000003,0
35,1600.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
133,1600.0,8.0,-1.4477,-0.75585,0.0,0.0,0.0,0
81,1600.0,6.0,-1.7212,1.3182,3.141592653589793,-0.00024999999999997247,0.0,0
25,1600.0,4.0,2.7185,0.34497,1.578314202476153,-0.014499999999999513,1.9287,0
26,1800.0,4.0,2.672,0.640545,1.6525760327079735,-0.12349999999999972,1.7032875,0
36,1800.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
134,1800.0,8.0,-1.4477,-0.75585,0.0,0.0,0.0,0
82,1800.0,6.0,-1.7211500000000002,1.3182,1.5707963267948966,0.0,0.0,0
128,1800.0,7.0,-2.4164000000000003,3.57045,1.6197712794440937,-0.06312499999999999,1.2315000000000005,0
4,1800.0,3.0,0.6455299999999999,-2.2285,2.180171512732051,-0.8700874999999999,1.2441250000000001,0
37,2000.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
135,2000.0,8.0,-1.4477,-0.75585,0.0,0.0,0.0,0
83,2000.0,6.0,-1.7211,1.3182,0.0,0.00024999999999997247,0.0,0
129,2000.0,7.0,-2.4226,3.7905,1.5989642893008098,-0.030999999999999917,1.1002500000000004,0
27,2000.0,4.0,2.6255,0.9361200000000001,1.726837862939794,-0.23249999999999993,1.477875,0
5,2000.0,3.0,0.44133,-1.9978,2.2953361880278753,-1.0209999999999997,1.1535000000000002,0
28,2200.0,4.0,2.6064,1.3054100000000002,1.6746545073914607,-0.16400000000000026,1.6621625,0
38,2200.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
6,2200.0,3.0,0.30533,-1.76305,2.1956110477442796,-0.8504999999999998,1.1636250000000001,0
136,2200.0,8.0,-1.4477,-0.75585,0.0,0.0,0.0,0
84,2200.0,6.0,-1.7211500000000002,1.3182,1.5707963267948966,0.0,0.0,0
137,2400.0,8.0,-1.4477,-0.75585,0.0,0.0,0.0,0
29,2400.0,4.0,2.5873,1.6747,1.6224711518431274,-0.09550000000000058,1.84645,0
39,2400.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
85,2400.0,6.0,-1.7212,1.3182,3.141592653589793,-0.00024999999999997247,0.0,0
7,2400.0,3.0,0.16933,-1.5283,2.095885907460684,-0.68,1.17375,0
86,2600.0,6.0,-1.7211500000000002,1.3182,1.5707963267948966,0.0,0.0,0
8,2600.0,3.0,0.033620000000000004,-1.249895,2.0601219169910197,-0.6792750000000001,1.2828875000000002,0
138,2600.0,8.0,-1.4477,-0.75585,0.0,0.0,0.0,0
30,2600.0,4.0,2.5619,1.9699,1.6395497189091692,-0.11124999999999996,1.6612249999999997,0
40,2600.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
139,2800.0,8.0,-1.4477,-0.75585,0.0,0.0,0.0,0
31,2800.0,4.0,2.5365,2.2651,1.6566282859752108,-0.12699999999999934,1.4759999999999995,0
41,2800.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
87,2800.0,6.0,-1.7211,1.3182,0.0,0.00024999999999997247,0.0,0
9,2800.0,3.0,-0.10209,-0.97149,2.0243579265213554,-0.67855,1.392025,0
88,3000.0,6.0,-1.7211500000000002,1.3182,1.5707963267948966,0.0,0.0,0
140,3000.0,8.0,-1.4477,-0.75585,0.0,0.0,0.0,0
42,3000.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
10,3000.0,3.0,-0.22381500000000001,-0.6811499999999999,1.9960722020475805,-0.6435875,1.4218625,0
11,3200.0,3.0,-0.34554,-0.39081,1.9677864775738056,-0.608625,1.4517,0
89,3200.0,6.0,-1.7212,1.3182,3.141592653589793,-0.00024999999999997247,0.0,0
141,3200.0,8.0,-1.4477,-0.75585,0.0,0.0,0.0,0
43,3200.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
12,3400.0,3.0,-0.444835,-0.101875,1.934798572548814,-0.55255,1.4481875,0
44,3400.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
142,3400.0,8.0,-1.4477,-0.75585,0.0,0.0,0.0,0
90,3400.0,6.0,-1.72105,1.3181500000000002,1.4099210495965755,0.00024999999999997247,-0.00012499999999998623,0
45,3600.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
13,3600.0,3.0,-0.54413,0.18706,1.9018106675238224,-0.496475,1.444675,0
143,3600.0,8.0,-1.4477,-0.75585,0.0,0.0,0.0,0
91,3600.0,6.0,-1.7209,1.3181,-0.3217505543966422,0.0007499999999999174,-0.00024999999999997247,0
144,3800.0,8.0,-1.4477,-0.75585,0.0,0.0,0.0,0
14,3800.0,3.0,-0.6558649999999999,0.462065,1.9292670211028893,-0.5275749999999999,1.40985,0
46,3800.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
92,3800.0,6.0,-1.7215500000000001,1.3182,1.333596385398943,-0.0012499999999998623,0.00012499999999998623,0
93,4000.0,6.0,-1.7222,1.3183,2.988943325194528,-0.003249999999999642,0.0004999999999999449,0
15,4000.0,3.0,-0.7676,0.73707,1.9567233746819561,-0.5586749999999998,1.375025,0
145,4000.0,8.0,-1.4477,-0.75585,0.0,0.0,0.0,0
47,4000.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
94,4200.0,6.0,-1.71255,1.3168,1.417368485988658,0.02250000000000002,-0.0035000000000001696,0
16,4200.0,3.0,-0.85156,0.9724349999999999,1.935085409981106,-0.4892375,1.275925,0
146,4200.0,8.0,-1.4477,-0.75585,0.0,0.0,0.0,0
48,4200.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
95,4400.0,6.0,-1.7029,1.3153,-0.15420635321721213,0.04824999999999968,-0.007500000000000284,0
147,4400.0,8.0,-1.4477,-0.75585,0.0,0.0,0.0,0
49,4400.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
17,4400.0,3.0,-0.93552,1.2078,1.913447445280256,-0.4198000000000002,1.176825,0
148,4600.0,8.0,-1.4477,-0.755845,0.7853981633974483,0.0,1.250000000008189e-05,0
96,4600.0,6.0,-1.702,1.31515,-0.15967751531590949,0.02637499999999987,-0.004125000000000101,0
18,4600.0,3.0,-1.06036,1.5018,1.9428987343541726,-0.5220000000000001,1.3234125,0
50,4600.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
51,4800.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
97,4800.0,6.0,-1.7011,1.315,-0.16514867741460684,0.0045000000000000595,-0.0007499999999999174,0
19,4800.0,3.0,-1.1852,1.7958,1.9723500234280893,-0.6242000000000001,1.4700000000000002,0
149,4800.0,8.0,-1.4477,-0.75584,1.5707963267948966,0.0,2.500000000016378e-05,0
52,5000.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
20,5000.0,3.0,-1.32555,1.9954,2.0779937528011585,-0.662975,1.2339999999999998,0
98,5000.0,6.0,-1.7013,1.3150499999999998,1.365732656524161,0.0017500000000000848,-0.00024999999999997247,0
150,5000.0,8.0,-1.4477,-0.755865,0.0,0.0,-4.9999999999911227e-05,0
151,5200.0,8.0,-1.4477,-0.75589,-1.5707963267948966,0.0,-0.00012499999999998623,0
53,5200.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
21,5200.0,3.0,-1.4659,2.195,2.1836374821742273,-0.7017499999999999,0.9979999999999994,0
99,5200.0,6.0,-1.7015,1.3151,2.896613990462929,-0.0009999999999998899,0.00024999999999997247,0
152,5400.0,8.0,-1.44775,-0.755795,0.24223896451858384,-0.00012499999999998623,0.00017499999999989746,0
54,5400.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
100,5400.0,6.0,-1.70145,1.3151,1.4483069952314644,-0.0003749999999999587,0.00012499999999998623,0
101,5600.0,6.0,-1.7014,1.3151,0.0,0.00024999999999997247,0.0,0
153,5600.0,8.0,-1.4478,-0.7557,2.0552742558320642,-0.00024999999999997247,0.00047499999999978115,0
55,5600.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
154,5800.0,8.0,-1.4475500000000001,-0.75604,0.5592503243502637,0.0004999999999999449,-0.0006125000000001268,0
102,5800.0,6.0,-1.70145,1.3151,1.5707963267948966,0.0,0.0,0
56,5800.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
103,6000.0,6.0,-1.7015,1.3151,3.141592653589793,-0.00024999999999997247,0.0,0
57,6000.0,5.0,-1.5855,0.92758,0.0,0.0,0.0,0
155,6000.0,8.0,-1.4473,-0.75638,-0.9367736071315369,0.0012499999999998623,-0.0017000000000000348,0
156,6200.0,8.0,-1.44815,-0.755115,0.6128324897843492,-0.0015000000000001124,0.002312500000000023,0
