,model,task,step,example_id,ade,fde
0,offline,0,513,0,0.08130749883455998,0.2136698856919926
1,offline,0,513,1,0.11004942840825385,0.18736324728409134
2,offline,0,513,2,0.09689859425776455,0.19599923314433848
3,offline,0,513,3,0.14360499271540397,0.25246540671520207
4,offline,0,513,4,0.06228081592476791,0.13260971569257726
5,offline,0,513,5,0.11359093354260842,0.190816193429058
6,offline,0,513,6,0.184413550069561,0.49801725187907414
7,offline,0,513,7,0.09431745958921338,0.14906373912888468
8,offline,0,513,8,0.14569475272993435,0.3407775500720798
9,offline,0,513,9,0.2056855586379281,0.4293303513695912
10,offline,0,513,10,0.04422472963309575,0.05804820167067193
11,offline,0,513,11,0.06333648204635194,0.17129972504030597
12,offline,0,513,12,0.1437404544471194,0.25211836749658584
13,offline,0,513,13,0.07816846109368097,0.16077526000673423
14,offline,0,513,14,0.09893025789282665,0.1500422463442704
15,offline,0,513,15,0.08500893268510047,0.19805844007039175
16,offline,0,513,16,0.17908092224669478,0.41290555410998436
17,offline,0,513,17,0.11362247248245987,0.2299859008279604
18,offline,0,513,18,0.14064477610701348,0.34863668475455994
19,offline,0,513,19,0.09378401845185026,0.14369982451242191
20,offline,0,513,20,0.10073334516922856,0.16021021184656237
21,offline,0,513,21,0.05117698151750963,0.12915323657563726
22,offline,0,513,22,0.06612931334828825,0.1675113127905299
23,offline,0,513,23,0.18076782416694198,0.2882031351053957
24,offline,0,513,24,0.035445953678341136,0.046241863511715574
25,offline,0,513,25,0.12939558904658502,0.2477655799105171
26,offline,0,513,26,0.04645641493074173,0.03269731387970491
27,offline,0,513,27,0.11038520019708094,0.2351274067743748
28,offline,0,513,28,0.1130689857652037,0.2877715208614052
29,offline,0,513,29,0.07997514533137932,0.14199759713992924
30,offline,0,513,30,0.06508414276714597,0.11800013264032476
31,offline,0,513,31,0.07584279466767103,0.08106226668078309
32,offline,0,513,32,0.04860475476689048,0.11041690243126585
33,offline,0,513,33,0.047971842368624215,0.05297366843811805
34,offline,0,513,34,0.057172721563383364,0.01984725494992993
35,offline,0,513,35,0.11614067715775207,0.23563760532887845
36,offline,0,513,36,0.04174015677086211,0.03865525452647519
37,offline,0,513,37,0.05263064516983585,0.09480342208815243
38,offline,0,513,38,0.07729375194234338,0.1753985296640656
39,offline,0,513,39,0.06546978754020805,0.06305500237543732
40,offline,0,513,40,0.19353455630578395,0.35360130196836337
41,offline,0,513,41,0.11080841021494185,0.18306460422113136
42,offline,0,513,42,0.15115711057568848,0.23789114005466563
43,offline,0,513,43,0.11093963803341014,0.23821670315011417
44,offline,0,513,44,0.14023558749412832,0.08488864517233402
45,offline,0,513,45,0.13128154826000304,0.34877893456971326
46,offline,0,513,46,0.12376220174609545,0.22681204727389756
47,offline,0,513,47,0.07207090846910802,0.10304638024773373
48,offline,0,513,48,0.07495495551537891,0.1667495380160657
49,offline,0,513,49,0.13041773320156355,0.17759900397817138
50,offline,0,513,50,0.11049131817948309,0.19641547028987213
51,offline,0,513,51,0.07737223199833601,0.12145365359881245
52,offline,0,513,52,0.037228821964447587,0.10577930829430499
53,offline,0,513,53,0.09141359031596673,0.14160173034629894
54,offline,0,513,54,0.03453138176469273,0.06379250806539913
55,offline,0,513,55,0.1306688190288379,0.22838399952506994
56,offline,0,513,56,0.08391535196235939,0.14273397505236857
57,offline,0,513,57,0.07651812012765438,0.08058713404766374
58,offline,0,513,58,0.12658655930094012,0.2752795688727958
59,offline,0,513,59,0.03425445352184804,0.05159295810155847
60,offline,0,513,60,0.0857628423474142,0.20638014428825585
61,offline,0,513,61,0.040023287527072786,0.018008468771046924
62,offline,0,513,62,0.12773562021418353,0.19110078926619314
63,offline,0,513,63,0.054155949917951696,0.07718026494195142
64,offline,0,513,64,0.09778754376612646,0.18915838614557628
65,offline,0,513,65,0.0809951287279305,0.2595503629009939
66,offline,0,513,66,0.17230374300063567,0.29595687758933814
67,offline,0,513,67,0.04914992204795741,0.10085651718805361
68,offline,0,513,68,0.0696104818219582,0.15071959414055108
69,offline,0,513,69,0.14541050647148562,0.3280982443545393
70,offline,0,513,70,0.17113664993664937,0.29468465185870624
71,offline,0,513,71,0.12877992066163374,0.25044939023768864
72,offline,0,513,72,0.11343295147128908,0.26601729691963205
73,offline,0,513,73,0.15812765533383907,0.3249492077391501
74,offline,0,513,74,0.11322566696289658,0.32593693290840536
75,offline,0,513,75,0.16413815980988153,0.34832682138669513
76,offline,0,513,76,0.07332814806818651,0.15188178540901423
77,offline,0,513,77,0.22209789795331533,0.4056673819264419
78,offline,0,513,78,0.13520282276023238,0.28931267713827974
79,offline,0,513,79,0.13629876767445728,0.2345413838708774
80,offline,0,513,80,0.12482402566259838,0.30689650241597183
81,offline,0,513,81,0.07582807410468474,0.15745738827196554
82,offline,0,513,82,0.1347646767544311,0.29443323274008504
83,offline,0,513,83,0.10670858629457461,0.2518996432525495
84,offline,0,513,84,0.25212672083250104,0.6123706173668696
85,offline,0,513,85,0.07387630461393656,0.1381442504137058
86,offline,0,513,86,0.05419934187787302,0.0923447445678747
87,offline,0,513,87,0.04425840005284457,0.03992021760920477
88,offline,0,513,88,0.13521768435428116,0.2799784230973508
89,offline,0,513,89,0.10671338337332523,0.22010790674105438
90,offline,0,513,90,0.0557693925947117,0.10105735992344701
91,offline,0,513,91,0.19230223933324364,0.39071303223872306
92,offline,0,513,92,0.14832014259055198,0.30431295210451187
93,offline,0,513,93,0.08426729812623734,0.10352624149233108
94,offline,0,513,94,0.08136426971914841,0.23459679712498896
95,offline,0,513,95,0.11728735887416318,0.23524547146160898
96,offline,0,513,96,0.0175059203829825,0.022204957793741358
97,offline,0,513,97,0.060704637916944366,0.11570191232447513
98,offline,0,513,98,0.08620698545318044,0.3107125246408036
99,offline,0,513,99,0.1964186824603857,0.5637222769241753
100,offline,1,513,0,0.3326976132054067,0.6122375300542001
101,offline,1,513,1,0.022993845108426676,0.06927976681327498
102,offline,1,513,2,0.02034276092594804,0.03761244128725447
103,offline,1,513,3,0.06295803141206109,0.038263955749950465
104,offline,1,513,4,0.05231178348686364,0.12021227234039424
105,offline,1,513,5,0.016444633362028994,0.041533684815905525
106,offline,1,513,6,0.07031052891957354,0.025805729560224398
107,offline,1,513,7,0.12820806220304054,0.17098405560628996
108,offline,1,513,8,0.08922779877988628,0.2501834419273764
109,offline,1,513,9,0.10894553794106061,0.4297026636496127
110,offline,1,513,10,0.0733026835235407,0.3094784640427002
111,offline,1,513,11,0.10333896435544825,0.19355424142186436
112,offline,1,513,12,0.10442226329717164,0.24257181920640303
113,offline,1,513,13,0.17306357860663849,0.24882916117006013
114,offline,1,513,14,0.011825229370452502,0.014745972384386812
115,offline,1,513,15,0.0724179445749349,0.17651685656428623
116,offline,1,513,16,0.20700781147743724,0.4412523754416837
117,offline,1,513,17,0.05493829464378106,0.21608350333893145
118,offline,1,513,18,0.1451920019054197,0.4040206766563254
119,offline,1,513,19,0.06491086632068255,0.13821334561393267
120,offline,1,513,20,0.07001991801424759,0.280017490754754
121,offline,1,513,21,0.39561447714230064,0.6498835014683703
122,offline,1,513,22,0.023648713667162025,0.0458588258688491
123,offline,1,513,23,0.27149346484700654,0.6479097935498674
124,offline,1,513,24,0.15777896893844662,0.43495946595497137
125,offline,1,513,25,0.09129582691022244,0.17306656704476756
126,offline,1,513,26,0.06678045306637188,0.26489438798435716
127,offline,1,513,27,0.29175313281920434,0.6934293600296925
128,offline,1,513,28,0.07891092993028422,0.2654975577939053
129,offline,1,513,29,0.05289696737105686,0.054146453816221796
130,offline,1,513,30,0.10364591008692453,0.06809015165809928
131,offline,1,513,31,0.16304759811208053,0.37020449062851923
132,offline,1,513,32,0.061180051048868256,0.17757224186582526
133,offline,1,513,33,0.2075629033025707,0.30162931721144165
134,offline,1,513,34,0.4048215457121863,1.2050555329711927
135,offline,1,513,35,0.14656861828627188,0.2891639520832514
136,offline,1,513,36,0.2212998489075246,0.3904681541573889
137,offline,1,513,37,0.05489711323589527,0.20222558502556015
138,offline,1,513,38,0.14165879999188533,0.24149188492592666
139,offline,1,513,39,0.06391507472233768,0.12409845622267912
140,offline,1,513,40,0.09011230662537781,0.1385710165471099
141,offline,1,513,41,0.27123008960382794,0.5970432206424389
142,offline,1,513,42,0.37502115953708653,0.6455345232444184
143,offline,1,513,43,0.042464858079153935,0.038229194622554356
144,offline,1,513,44,0.06971208254142475,0.18344876035681154
145,offline,1,513,45,0.1034178383180413,0.26312579345683956
146,offline,1,513,46,0.05861574555508633,0.12229182296675763
147,offline,1,513,47,0.11752194464613304,0.20714731280063264
148,offline,1,513,48,0.11177214319232406,0.2826800286645195
149,offline,1,513,49,0.06842956641292762,0.13932783949671745
150,offline,1,513,50,0.058231508977735734,0.11048037967934168
151,offline,1,513,51,0.21021441843022126,0.3733136640570585
152,offline,1,513,52,0.1498944003466745,0.3170287737771504
153,offline,1,513,53,0.11051393340267109,0.20996360838564052
154,offline,1,513,54,0.10051917146467113,0.20682012980736966
155,offline,1,513,55,0.15167089797604155,0.3475748857630031
156,offline,1,513,56,0.5134453378597664,0.8448260085936613
157,offline,1,513,57,0.050857297168073544,0.03891347300209391
158,offline,1,513,58,0.1579935811063602,0.3628148150002146
159,offline,1,513,59,0.04064934370490507,0.1292983310861512
160,offline,1,513,60,0.09456831496693656,0.19418895851187418
161,offline,1,513,61,0.1169040024828481,0.40301892154121793
162,offline,1,513,62,0.0407366410220347,0.06346218966254041
163,offline,1,513,63,0.09698193406462595,0.18864581468897004
164,offline,1,513,64,0.1776029054292961,0.368602887061625
165,offline,1,513,65,0.025968884768522413,0.02820313715932961
166,offline,1,513,66,0.065108826931561,0.10655378819742228
167,offline,1,513,67,0.018962562833198415,0.0026236386026847526
168,offline,1,513,68,0.17167843153076398,0.27938948610960934
169,offline,1,513,69,0.07886524167058907,0.15926958969447544
170,offline,1,513,70,0.013113961708964169,0.03186684473584419
171,offline,1,513,71,0.1112166492710906,0.4946296681092006
172,offline,1,513,72,0.3982721454035197,0.7396573353617577
173,offline,1,513,73,0.09897177330752946,0.21795469013232327
174,offline,1,513,74,0.0397486776631035,0.09373909936830846
175,offline,1,513,75,0.08405717284849344,0.1788024415432044
176,offline,1,513,76,0.220799783795917,0.38402591560591726
177,offline,1,513,77,0.5063027957906872,1.3997939354055033
178,offline,1,513,78,0.24565530687466505,0.27436473736055156
179,offline,1,513,79,0.18591619831030165,0.46512766144258394
180,offline,1,513,80,0.05119697218040766,0.1392110766441255
181,offline,1,513,81,0.19595565519847036,0.38056995147246364
