,model,task,step,example_id,ade,fde
0,offline,0,513,0,0.28079288083596465,0.41304059978479324
1,offline,0,513,1,0.3326976132054067,0.6122375300542001
2,offline,0,513,2,0.29552213825794993,0.4165487077001256
3,offline,0,513,3,0.022993845108426676,0.06927976681327498
4,offline,0,513,4,0.14000659464093104,0.1604492585680896
5,offline,0,513,5,0.23360091718927134,0.6704958232961644
6,offline,0,513,6,0.08415859095081542,0.18772839624575913
7,offline,0,513,7,0.6650920580961378,1.2513637455804576
8,offline,0,513,8,0.10696432346249679,0.11470819083588384
9,offline,0,513,9,0.3239296111332957,0.7802657542115203
10,offline,0,513,10,0.1305983524243239,0.45216590902529363
11,offline,0,513,11,0.16616911168311274,0.5077469798474872
12,offline,0,513,12,0.13465992060297463,0.3120767676087733
13,offline,0,513,13,0.17467389883389917,0.7689298992621733
14,offline,0,513,14,0.08872277156879588,0.11858473447669826
15,offline,0,513,15,0.07492534791714582,0.1669980424870496
16,offline,0,513,16,0.08239951702183075,0.1364429928301511
17,offline,0,513,17,0.17306357860663849,0.24882916117006013
18,offline,0,513,18,0.229497853569923,0.42285724265513003
19,offline,0,513,19,0.05493829464378106,0.21608350333893145
20,offline,0,513,20,0.06054855862133022,0.18230860759802117
21,offline,0,513,21,0.11315275271847793,0.23059236910703956
22,offline,0,513,22,0.03545015866907013,0.040340448263658756
23,offline,0,513,23,0.032334763947010355,0.08546052597065186
24,offline,0,513,24,0.27149346484700654,0.6479097935498674
25,offline,0,513,25,0.15777896893844662,0.43495946595497137
26,offline,0,513,26,0.1690799621033327,0.4946996938756779
27,offline,0,513,27,0.026891913818243206,0.10500020307762048
28,offline,0,513,28,0.017655379307810203,0.016623861407431294
29,offline,0,513,29,0.07220505560812554,0.10097511843089964
30,offline,0,513,30,0.07891092993028422,0.2654975577939053
31,offline,0,513,31,0.4904220905098672,0.8802436997161139
32,offline,0,513,32,0.05189110503844699,0.10118487472221366
33,offline,0,513,33,0.46814791914613374,0.6790590137826441
34,offline,0,513,34,0.1373533083018679,0.4177788300202619
35,offline,0,513,35,0.4637280127416859,0.7658761462981568
36,offline,0,513,36,0.10386330949609107,0.20290115560992117
37,offline,0,513,37,0.0597637946235602,0.13986603451426896
38,offline,0,513,38,0.061180051048868256,0.17757224186582526
39,offline,0,513,39,0.2075629033025707,0.30162931721144165
40,offline,0,513,40,0.11248010351940514,0.23526788390984163
41,offline,0,513,41,0.2339594963543013,0.3755338651762755
42,offline,0,513,42,0.07395768737837946,0.2603640978153713
43,offline,0,513,43,0.08601748199560415,0.2583198216886345
44,offline,0,513,44,0.2212998489075246,0.3904681541573889
45,offline,0,513,45,0.06391507472233768,0.12409845622267912
46,offline,0,513,46,0.457046768097287,0.8522787537225488
47,offline,0,513,47,0.27123008960382794,0.5970432206424389
48,offline,0,513,48,0.05112145505578655,0.17311977463525863
49,offline,0,513,49,0.2859140198592937,0.840468397057869
50,offline,0,513,50,0.06842956641292762,0.13932783949671745
51,offline,0,513,51,0.058231508977735734,0.11048037967934168
52,offline,0,513,52,0.1567247281290093,0.3807021394522628
53,offline,0,513,53,0.07261357746478302,0.14470382363668205
54,offline,0,513,54,0.1498944003466745,0.3170287737771504
55,offline,0,513,55,0.013000918363484397,0.008797998456905013
56,offline,0,513,56,0.02257896917505975,0.06333221956341574
57,offline,0,513,57,0.059681113625988866,0.09870348479750166
58,offline,0,513,58,0.11051393340267109,0.20996360838564052
59,offline,0,513,59,0.15167089797604155,0.3475748857630031
60,offline,0,513,60,0.5747623521902052,1.3244194484739777
61,offline,0,513,61,0.5134453378597664,0.8448260085936613
62,offline,0,513,62,0.6403005957608144,1.1901562021738046
63,offline,0,513,63,0.06333619253621547,0.1431070857859484
64,offline,0,513,64,0.2716030717449613,0.4693344026376352
65,offline,0,513,65,0.039477944916048065,0.06539369429476402
66,offline,0,513,66,0.09156274535819893,0.10104919406901686
67,offline,0,513,67,0.018962562833198415,0.0026236386026847526
68,offline,0,513,68,0.05100230479457201,0.05879365835471822
69,offline,0,513,69,0.10946816627449432,0.3009415834286439
70,offline,0,513,70,0.09039592754546785,0.25384974159357515
71,offline,0,513,71,0.1112166492710906,0.4946296681092006
72,offline,0,513,72,0.3982721454035197,0.7396573353617577
73,offline,0,513,73,0.15481362037651808,0.45538488760394974
74,offline,0,513,74,0.07489701467884538,0.19336087274605016
75,offline,0,513,75,0.073487847281396,0.15277199318171727
76,offline,0,513,76,0.06087742897364157,0.08319115836001618
77,offline,0,513,77,0.10244097410438505,0.4032534518394187
78,offline,0,513,78,0.336118881477878,1.007763334241489
79,offline,0,513,79,0.11798180647907178,0.2781962629660783
80,offline,0,513,80,0.04897836627400899,0.12385271569713575
81,offline,0,513,81,0.08118630811518637,0.22493477752611088
82,offline,0,513,82,0.09019876229173791,0.2437727281442228
83,offline,0,513,83,0.12306837614888791,0.2603175581836958
84,offline,0,513,84,0.18003719811141075,0.31735924443
85,offline,0,513,85,0.048650246818193875,0.10669868259266277
86,offline,0,513,86,0.14000886809441093,0.21047046254482518
87,offline,0,513,87,0.09037572064304843,0.24599868561239074
88,offline,0,513,88,0.09896994667252366,0.2454508609142178
89,offline,0,513,89,0.09992655398131518,0.3755716978617514
90,offline,0,513,90,0.4165957605126216,0.7499643996443808
91,offline,0,513,91,0.06182035267498393,0.12417431243303483
92,offline,0,513,92,0.11161223630027918,0.2358721535320534
93,offline,0,513,93,0.09093337346792575,0.15795729322733518
94,offline,0,513,94,0.10652103816699286,0.2529611949955382
95,offline,0,513,95,0.12393638880610996,0.2938353001803262
96,offline,0,513,96,0.12399004540934065,0.3390681181405662
97,offline,0,513,97,0.08561292294489428,0.2648024506406779
98,offline,0,513,98,0.06889711956375638,0.10826365889326796
99,offline,0,513,99,0.08973539924345576,0.17060192509100822
100,offline,1,513,0,0.04317092445490393,0.10127526556836737
101,offline,1,513,1,0.11004942840825385,0.18736324728409134
102,offline,1,513,2,0.13605486569629563,0.2666189265739286
103,offline,1,513,3,0.06228081592476791,0.13260971569257726
104,offline,1,513,4,0.09574192049342065,0.15742074373497394
105,offline,1,513,5,0.19706757532555638,0.469163673534847
106,offline,1,513,6,0.0963500333577388,0.1975472102084156
107,offline,1,513,7,0.14569475272993435,0.3407775500720798
108,offline,1,513,8,0.2056855586379281,0.4293303513695912
109,offline,1,513,9,0.14847510743714173,0.2974163042032161
110,offline,1,513,10,0.06333648204635194,0.17129972504030597
111,offline,1,513,11,0.04438443179356651,0.07741279304181002
112,offline,1,513,12,0.08302269091044316,0.21531310731179765
113,offline,1,513,13,0.12466306140398811,0.18637041238011726
114,offline,1,513,14,0.09895605274320882,0.27515007767987054
115,offline,1,513,15,0.07738084103043613,0.15549012016393537
116,offline,1,513,16,0.09411404664807543,0.1646540827982445
117,offline,1,513,17,0.1343120323395572,0.24861397785566342
118,offline,1,513,18,0.048006468931907846,0.08381259604387871
119,offline,1,513,19,0.14064477610701348,0.34863668475455994
120,offline,1,513,20,0.07780210068855156,0.09975571908348466
121,offline,1,513,21,0.15119784964332592,0.342762241141746
122,offline,1,513,22,0.07245931743557495,0.18201904578816938
123,offline,1,513,23,0.05117698151750963,0.12915323657563726
124,offline,1,513,24,0.05560863621287247,0.12119529429654574
125,offline,1,513,25,0.10079722082155698,0.08615504967017262
126,offline,1,513,26,0.13805903434688088,0.26629887553606846
127,offline,1,513,27,0.04456022248158584,0.04838354393683116
128,offline,1,513,28,0.035445953678341136,0.046241863511715574
129,offline,1,513,29,0.24915671762952277,0.32754582897673123
130,offline,1,513,30,0.20974974422520085,0.5678826374747126
131,offline,1,513,31,0.04304826718297965,0.08575534294400476
132,offline,1,513,32,0.06508414276714597,0.11800013264032476
133,offline,1,513,33,0.07718682434622877,0.14042105139226924
134,offline,1,513,34,0.13283337869169065,0.32321771155503215
135,offline,1,513,35,0.07578237725132635,0.22980706528489808
136,offline,1,513,36,0.11614067715775207,0.23563760532887845
